x,y,poisson_smooth_solution,poisson_smooth_diffusivity,poisson_smooth_difficult_solution,poisson_smooth_difficult_diffusivity,poisson_discontinuous_solution,poisson_discontinuous_diffusivity
0.0,0.6625,0.0,0.6447412212860499,0.0,2.0,0.0,1.0
0.012500000000000011,0.0,0.0,1.0125784515406344,0.0,2.0,0.0,1.0
0.03749999999999998,0.0,0.0,1.038211997081825,0.0,2.0,0.0,1.0
0.6125,1.0,0.0,0.6787516342514144,0.0,2.0,0.0,1.0
0.0625,0.0,0.0,1.0644944589178593,0.0,2.0,0.0,1.0
0.08750000000000002,0.0,0.0,1.0914422644429518,0.0,2.0,0.0,1.0
0.5875,1.0,0.0,0.661993196690834,0.0,2.0,0.0,1.0
0.11249999999999999,0.0,0.0,1.1190722569127804,0.0,2.0,0.0,1.0
0.0,0.012500000000000011,0.0,0.9998437622063955,0.0,2.0,0.0,1.0
0.1375,0.0,0.0,1.1474017059720723,0.0,2.0,0.0,1.0
0.16249999999999998,0.0,0.0,1.1764483184486905,0.0,2.0,0.0,1.0
0.5625,1.0,0.0,0.645648526427892,0.0,2.0,0.0,1.0
0.1875,0.0,0.0,1.2062302494209807,0.0,2.0,0.0,1.0
0.21250000000000002,0.0,0.0,1.2367661135652848,0.0,2.0,0.0,1.0
0.5375,1.0,0.0,0.62970740751161,0.0,2.0,0.0,1.0
0.2375,0.0,0.0,1.2680749967907192,0.0,2.0,0.0,1.0
0.0,0.6375,0.0,0.6660395338955277,0.0,2.0,0.0,1.0
0.2625,0.0,0.0,1.300176468168491,0.0,2.0,0.0,1.0
0.2875,0.0,0.0,1.3330905921632026,0.0,2.0,0.0,1.0
0.5125,1.0,0.0,0.6141598762237378,0.0,2.0,0.0,1.0
0.3125,0.0,0.0,1.3668379411737963,0.0,2.0,0.0,1.0
0.3375,0.0,0.0,1.4014396083919731,0.0,2.0,0.0,1.0
0.0,0.2625,0.0,0.9334141835561207,0.0,2.0,0.0,1.0
0.3625,0.0,0.0,1.4369172209861243,0.0,2.0,0.0,1.0
0.4875,1.0,0.0,0.5989962148511054,0.0,2.0,0.0,1.0
0.3875,0.0,0.0,1.4732929536190154,0.0,2.0,0.0,1.0
0.4125,0.0,0.0,1.5105895423076725,0.0,2.0,0.0,1.0
0.0,0.6125,0.0,0.6871818982304858,0.0,2.0,0.0,1.0
0.4375,0.0,0.0,1.5488302986341331,0.0,2.0,0.0,1.0
0.4625,0.0,0.0,1.5880391243159433,0.0,2.0,0.0,1.0
0.4625,1.0,0.0,0.5842069456117358,0.0,2.0,0.0,1.0
0.4875,0.0,0.0,1.6282405261455097,0.0,2.0,0.0,1.0
0.4375,1.0,0.0,0.569782824730923,0.0,2.0,0.0,1.0
0.5125,0.0,0.0,1.6694596313076429,0.0,2.0,0.0,1.0
0.0,0.5875,0.0,0.7081097026823884,0.0,2.0,0.0,1.0
0.5375,0.0,0.0,1.7117222030848642,0.0,2.0,0.0,1.0
0.5625,0.0,0.0,1.7550546569602985,0.0,2.0,0.0,1.0
0.4125,1.0,0.0,0.5557148366635714,0.0,2.0,0.0,1.0
0.5875,0.0,0.0,1.7994840771282086,0.0,2.0,0.0,1.0
0.0,0.11249999999999999,0.0,0.9874235035173194,0.0,2.0,0.0,1.0
0.6125,0.0,0.0,1.8450382334225,0.0,2.0,0.0,1.0
0.3875,1.0,0.0,0.5419941884591871,0.0,2.0,0.0,1.0
0.6375,0.0,0.0,1.8917455986737697,0.0,2.0,0.0,1.0
0.0,0.5625,0.0,0.7287633299194912,0.0,2.0,0.0,1.0
0.6625,0.0,0.0,1.939635366505754,0.0,2.0,0.0,1.0
0.6875,0.0,0.0,1.988737469582292,0.0,2.0,0.0,1.0
0.3625,1.0,0.0,0.5286123042659974,0.0,2.0,0.0,1.0
0.7125,0.0,0.0,2.0390825983162153,0.0,2.0,0.0,1.0
0.0,0.5375,0.0,0.7490824285885863,0.0,2.0,0.0,1.0
0.7375,0.0,0.0,2.0907022200518557,0.0,2.0,0.0,1.0
0.3375,1.0,0.0,0.5155608199707641,0.0,2.0,0.0,1.0
0.7625,0.0,0.0,2.143628598733159,0.0,2.0,0.0,1.0
0.3125,1.0,0.0,0.5028315779709409,0.0,2.0,0.0,1.0
0.7875,0.0,0.0,2.1978948150697017,0.0,2.0,0.0,1.0
0.8125,0.0,0.0,2.2535347872132085,0.0,2.0,0.0,1.0
0.0,0.2375,0.0,0.9451550886313221,0.0,2.0,0.0,1.0
0.8375,0.0,0.0,2.3105832919575042,0.0,2.0,0.0,1.0
0.2875,1.0,0.0,0.49041662207590614,0.0,2.0,0.0,1.0
0.8625,0.0,0.0,2.36907598647514,0.0,2.0,0.0,1.0
0.0,0.5125,0.0,0.7690061977623985,0.0,2.0,0.0,1.0
0.8875,0.0,0.0,2.429049430604288,0.0,2.0,0.0,1.0
0.2625,1.0,0.0,0.4783081925340841,0.0,2.0,0.0,1.0
0.9125,0.0,0.0,2.490541109699831,0.0,2.0,0.0,1.0
0.9375,0.0,0.0,2.553589458062927,0.0,2.0,0.0,1.0
0.0,0.03749999999999998,0.0,0.9985947383062085,0.0,2.0,0.0,1.0
0.9625,0.0,0.0,2.618233882963701,0.0,2.0,0.0,1.0
0.2375,1.0,0.0,0.46649872118284835,0.0,2.0,0.0,1.0
0.9875,0.0,0.0,2.6845147892720704,0.0,2.0,0.0,1.0
0.0,0.4875,0.0,0.7884736823427864,0.0,2.0,0.0,1.0
1.0,0.012500000000000011,0.0,2.7178571301037717,0.0,2.0,0.0,1.0
1.0,0.03749999999999998,0.0,2.7144619311325817,0.0,2.0,0.0,1.0
0.21250000000000002,1.0,0.0,0.4549808267181735,0.0,2.0,0.0,1.0
1.0,0.0625,0.0,2.70768425193379,0.0,2.0,0.0,1.0
1.0,0.08750000000000002,0.0,2.6975494506182223,0.0,2.0,0.0,1.0
0.1875,1.0,0.0,0.44374731008107987,0.0,2.0,0.0,1.0
1.0,0.11249999999999999,0.0,2.6840953666044958,0.0,2.0,0.0,1.0
0.0,0.21250000000000002,0.0,0.9558481188958469,0.0,2.0,0.0,1.0
1.0,0.1375,0.0,2.6673720852551637,0.0,2.0,0.0,1.0
1.0,0.16249999999999998,0.0,2.6474416272571766,0.0,2.0,0.0,1.0
0.16249999999999998,1.0,0.0,0.43279114995798723,0.0,2.0,0.0,1.0
1.0,0.1875,0.0,2.6243775654424475,0.0,2.0,0.0,1.0
1.0,0.21250000000000002,0.0,2.5982645723613413,0.0,2.0,0.0,1.0
0.0,0.4625,0.0,0.8074240774818059,0.0,2.0,0.0,1.0
1.0,0.2375,0.0,2.5691979025021214,0.0,2.0,0.0,1.0
0.1375,1.0,0.0,0.4221054983921655,0.0,2.0,0.0,1.0
1.0,0.2625,0.0,2.537282813586539,0.0,2.0,0.0,1.0
1.0,0.2875,0.0,2.502633931860222,0.0,2.0,0.0,1.0
0.0,0.4375,0.0,0.8257970399501007,0.0,2.0,0.0,1.0
